Book,Author,Amount,Price,Book1,Author1,Amount1,Price1,Book2,Author2,Amount2,Price2,Book3,Author3,Amount3,Price3,Book4,Author4,Amount4,Price4
The ONE Thing,Gary Keller,"-11,2",11.21,The ONE Thing,Gary Keller,"-11,2",11.21,The ONE Thing,Gary Keller,"-11,2",11.21,The ONE Thing,Gary Keller,"-11,2",11.21,The ONE Thing,Gary Keller,"-11,2",11.21
The Compound Effect,Darren Hardy,"-11,39393939",9.52,The Compound Effect,Darren Hardy,"-11,39393939",9.52,The Compound Effect,Darren Hardy,"-11,39393939",9.52,The Compound Effect,Darren Hardy,"-11,39393939",9.52,The Compound Effect,Darren Hardy,"-11,39393939",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-11,58787879",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-11,58787879",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-11,58787879",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-11,58787879",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-11,58787879",23.52
The Miracle Morning,Hal Elrod,"-11,78181818",21.38,The Miracle Morning,Hal Elrod,"-11,78181818",21.38,The Miracle Morning,Hal Elrod,"-11,78181818",21.38,The Miracle Morning,Hal Elrod,"-11,78181818",21.38,The Miracle Morning,Hal Elrod,"-11,78181818",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,97575758",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,97575758",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,97575758",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,97575758",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,97575758",12.103
The ONE Thing,Gary Keller,"-12,16969697",11.22,The ONE Thing,Gary Keller,"-12,16969697",11.22,The ONE Thing,Gary Keller,"-12,16969697",11.22,The ONE Thing,Gary Keller,"-12,16969697",11.22,The ONE Thing,Gary Keller,"-12,16969697",11.22
The Compound Effect,Darren Hardy,"-12,36363636",9.52,The Compound Effect,Darren Hardy,"-12,36363636",9.52,The Compound Effect,Darren Hardy,"-12,36363636",9.52,The Compound Effect,Darren Hardy,"-12,36363636",9.52,The Compound Effect,Darren Hardy,"-12,36363636",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-12,55757576",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-12,55757576",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-12,55757576",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-12,55757576",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-12,55757576",23.52
The Miracle Morning,Hal Elrod,"-12,75151515",21.38,The Miracle Morning,Hal Elrod,"-12,75151515",21.38,The Miracle Morning,Hal Elrod,"-12,75151515",21.38,The Miracle Morning,Hal Elrod,"-12,75151515",21.38,The Miracle Morning,Hal Elrod,"-12,75151515",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-12,94545455",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-12,94545455",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-12,94545455",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-12,94545455",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-12,94545455",12.103
The ONE Thing,Gary Keller,"-13,13939394",11.22,The ONE Thing,Gary Keller,"-13,13939394",11.22,The ONE Thing,Gary Keller,"-13,13939394",11.22,The ONE Thing,Gary Keller,"-13,13939394",11.22,The ONE Thing,Gary Keller,"-13,13939394",11.22
The Compound Effect,Darren Hardy,"-13,33333333",9.53,The Compound Effect,Darren Hardy,"-13,33333333",9.53,The Compound Effect,Darren Hardy,"-13,33333333",9.53,The Compound Effect,Darren Hardy,"-13,33333333",9.53,The Compound Effect,Darren Hardy,"-13,33333333",9.53
The 7 Habits of Highly Effective People,Stephen R. Covey,"-13,52727273",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-13,52727273",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-13,52727273",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-13,52727273",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-13,52727273",23.53
The Miracle Morning,Hal Elrod,"-13,72121212",21.39,The Miracle Morning,Hal Elrod,"-13,72121212",21.39,The Miracle Morning,Hal Elrod,"-13,72121212",21.39,The Miracle Morning,Hal Elrod,"-13,72121212",21.39,The Miracle Morning,Hal Elrod,"-13,72121212",21.39
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-13,91515152",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-13,91515152",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-13,91515152",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-13,91515152",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-13,91515152",12.104
The Compound Effect,Darren Hardy,"-14,10909091",9.51,The Compound Effect,Darren Hardy,"-14,10909091",9.51,The Compound Effect,Darren Hardy,"-14,10909091",9.51,The Compound Effect,Darren Hardy,"-14,10909091",9.51,The Compound Effect,Darren Hardy,"-14,10909091",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-14,3030303",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-14,3030303",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-14,3030303",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-14,3030303",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-14,3030303",23.51
The Miracle Morning,Hal Elrod,"-14,4969697",21.37,The Miracle Morning,Hal Elrod,"-14,4969697",21.37,The Miracle Morning,Hal Elrod,"-14,4969697",21.37,The Miracle Morning,Hal Elrod,"-14,4969697",21.37,The Miracle Morning,Hal Elrod,"-14,4969697",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-14,69090909",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-14,69090909",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-14,69090909",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-14,69090909",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-14,69090909",12.102
The ONE Thing,Gary Keller,"-14,88484848",11.21,The ONE Thing,Gary Keller,"-14,88484848",11.21,The ONE Thing,Gary Keller,"-14,88484848",11.21,The ONE Thing,Gary Keller,"-14,88484848",11.21,The ONE Thing,Gary Keller,"-14,88484848",11.21
The Compound Effect,Darren Hardy,"-15,07878788",9.51,The Compound Effect,Darren Hardy,"-15,07878788",9.51,The Compound Effect,Darren Hardy,"-15,07878788",9.51,The Compound Effect,Darren Hardy,"-15,07878788",9.51,The Compound Effect,Darren Hardy,"-15,07878788",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-15,27272727",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-15,27272727",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-15,27272727",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-15,27272727",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-15,27272727",23.51
The Miracle Morning,Hal Elrod,"-15,46666667",21.37,The Miracle Morning,Hal Elrod,"-15,46666667",21.37,The Miracle Morning,Hal Elrod,"-15,46666667",21.37,The Miracle Morning,Hal Elrod,"-15,46666667",21.37,The Miracle Morning,Hal Elrod,"-15,46666667",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-15,66060606",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-15,66060606",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-15,66060606",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-15,66060606",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-15,66060606",12.102
The ONE Thing,Gary Keller,"-15,85454545",11.21,The ONE Thing,Gary Keller,"-15,85454545",11.21,The ONE Thing,Gary Keller,"-15,85454545",11.21,The ONE Thing,Gary Keller,"-15,85454545",11.21,The ONE Thing,Gary Keller,"-15,85454545",11.21
The Compound Effect,Darren Hardy,"-16,04848485",9.52,The Compound Effect,Darren Hardy,"-16,04848485",9.52,The Compound Effect,Darren Hardy,"-16,04848485",9.52,The Compound Effect,Darren Hardy,"-16,04848485",9.52,The Compound Effect,Darren Hardy,"-16,04848485",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-16,24242424",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-16,24242424",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-16,24242424",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-16,24242424",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-16,24242424",23.52
The Miracle Morning,Hal Elrod,"-16,43636364",21.38,The Miracle Morning,Hal Elrod,"-16,43636364",21.38,The Miracle Morning,Hal Elrod,"-16,43636364",21.38,The Miracle Morning,Hal Elrod,"-16,43636364",21.38,The Miracle Morning,Hal Elrod,"-16,43636364",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-16,63030303",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-16,63030303",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-16,63030303",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-16,63030303",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-16,63030303",12.103
The ONE Thing,Gary Keller,"-16,82424242",11.22,The ONE Thing,Gary Keller,"-16,82424242",11.22,The ONE Thing,Gary Keller,"-16,82424242",11.22,The ONE Thing,Gary Keller,"-16,82424242",11.22,The ONE Thing,Gary Keller,"-16,82424242",11.22
The Compound Effect,Darren Hardy,"-17,01818182",9.52,The Compound Effect,Darren Hardy,"-17,01818182",9.52,The Compound Effect,Darren Hardy,"-17,01818182",9.52,The Compound Effect,Darren Hardy,"-17,01818182",9.52,The Compound Effect,Darren Hardy,"-17,01818182",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-17,21212121",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-17,21212121",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-17,21212121",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-17,21212121",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-17,21212121",23.52
The Miracle Morning,Hal Elrod,"-17,40606061",21.38,The Miracle Morning,Hal Elrod,"-17,40606061",21.38,The Miracle Morning,Hal Elrod,"-17,40606061",21.38,The Miracle Morning,Hal Elrod,"-17,40606061",21.38,The Miracle Morning,Hal Elrod,"-17,40606061",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-17,6",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-17,6",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-17,6",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-17,6",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-17,6",12.103
The ONE Thing,Gary Keller,"-17,79393939",11.22,The ONE Thing,Gary Keller,"-17,79393939",11.22,The ONE Thing,Gary Keller,"-17,79393939",11.22,The ONE Thing,Gary Keller,"-17,79393939",11.22,The ONE Thing,Gary Keller,"-17,79393939",11.22
The Compound Effect,Darren Hardy,"-17,98787879",9.53,The Compound Effect,Darren Hardy,"-17,98787879",9.53,The Compound Effect,Darren Hardy,"-17,98787879",9.53,The Compound Effect,Darren Hardy,"-17,98787879",9.53,The Compound Effect,Darren Hardy,"-17,98787879",9.53
The 7 Habits of Highly Effective People,Stephen R. Covey,"-18,18181818",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-18,18181818",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-18,18181818",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-18,18181818",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-18,18181818",23.53
The Miracle Morning,Hal Elrod,"-18,37575758",21.39,The Miracle Morning,Hal Elrod,"-18,37575758",21.39,The Miracle Morning,Hal Elrod,"-18,37575758",21.39,The Miracle Morning,Hal Elrod,"-18,37575758",21.39,The Miracle Morning,Hal Elrod,"-18,37575758",21.39
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-18,56969697",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-18,56969697",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-18,56969697",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-18,56969697",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-18,56969697",12.104
The ONE Thing,Gary Keller,"-18,76363636",11.23,The ONE Thing,Gary Keller,"-18,76363636",11.23,The ONE Thing,Gary Keller,"-18,76363636",11.23,The ONE Thing,Gary Keller,"-18,76363636",11.23,The ONE Thing,Gary Keller,"-18,76363636",11.23
The Compound Effect,Darren Hardy,"-18,95757576",9.53,The Compound Effect,Darren Hardy,"-18,95757576",9.53,The Compound Effect,Darren Hardy,"-18,95757576",9.53,The Compound Effect,Darren Hardy,"-18,95757576",9.53,The Compound Effect,Darren Hardy,"-18,95757576",9.53
The 7 Habits of Highly Effective People,Stephen R. Covey,"-19,15151515",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-19,15151515",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-19,15151515",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-19,15151515",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-19,15151515",23.53
The Miracle Morning,Hal Elrod,"-19,34545455",21.39,The Miracle Morning,Hal Elrod,"-19,34545455",21.39,The Miracle Morning,Hal Elrod,"-19,34545455",21.39,The Miracle Morning,Hal Elrod,"-19,34545455",21.39,The Miracle Morning,Hal Elrod,"-19,34545455",21.39
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-19,53939394",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-19,53939394",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-19,53939394",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-19,53939394",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-19,53939394",12.104
The ONE Thing,Gary Keller,"-19,73333333",11.23,The ONE Thing,Gary Keller,"-19,73333333",11.23,The ONE Thing,Gary Keller,"-19,73333333",11.23,The ONE Thing,Gary Keller,"-19,73333333",11.23,The ONE Thing,Gary Keller,"-19,73333333",11.23
The Compound Effect,Darren Hardy,"-19,92727273",9.54,The Compound Effect,Darren Hardy,"-19,92727273",9.54,The Compound Effect,Darren Hardy,"-19,92727273",9.54,The Compound Effect,Darren Hardy,"-19,92727273",9.54,The Compound Effect,Darren Hardy,"-19,92727273",9.54
The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,12121212",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,12121212",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,12121212",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,12121212",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,12121212",23.54
The Miracle Morning,Hal Elrod,"-20,31515152",21.40,The Miracle Morning,Hal Elrod,"-20,31515152",21.40,The Miracle Morning,Hal Elrod,"-20,31515152",21.40,The Miracle Morning,Hal Elrod,"-20,31515152",21.40,The Miracle Morning,Hal Elrod,"-20,31515152",21.40
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105
The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52
The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103
The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22
The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-21,86666667",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-21,86666667",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-21,86666667",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-21,86666667",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-21,86666667",23.52
The Miracle Morning,Hal Elrod,"-22,06060606",21.38,The Miracle Morning,Hal Elrod,"-22,06060606",21.38,The Miracle Morning,Hal Elrod,"-22,06060606",21.38,The Miracle Morning,Hal Elrod,"-22,06060606",21.38,The Miracle Morning,Hal Elrod,"-22,06060606",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-22,25454545",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-22,25454545",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-22,25454545",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-22,25454545",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-22,25454545",12.103
The ONE Thing,Gary Keller,"-22,44848485",11.22,The ONE Thing,Gary Keller,"-22,44848485",11.22,The ONE Thing,Gary Keller,"-22,44848485",11.22,The ONE Thing,Gary Keller,"-22,44848485",11.22,The ONE Thing,Gary Keller,"-22,44848485",11.22
The Compound Effect,Darren Hardy,"-22,64242424",9.53,The Compound Effect,Darren Hardy,"-22,64242424",9.53,The Compound Effect,Darren Hardy,"-22,64242424",9.53,The Compound Effect,Darren Hardy,"-22,64242424",9.53,The Compound Effect,Darren Hardy,"-22,64242424",9.53
